room_type,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,security_deposit,cleaning_fee,guests_included,extra_people,bathrooms,bedrooms,beds,bed_type,accommodates
15,4,141,60,3.533182003748955,18,75.0,25,200.0,30.0,1,28.0,1.0,1.0,2.0,7,3
16,1,0,17,5.085573389150531,19,25.0,9,0.0,0.0,1,0.0,1.0,1.0,1.0,7,2
15,1,220,90,3.695676836683942,18,68.0,16,200.0,50.0,2,20.0,1.0,1.0,2.0,7,4
16,1,297,26,3.755284599045375,18,26.0,24,250.0,30.0,1,18.0,1.0,1.0,1.0,8,2
16,1,26,42,4.55042339408403,20,20.0,12,0.0,0.0,1,24.0,1.0,1.0,2.0,7,2
15,3,129,70,5.012296930979851,18,43.98074119512408,12,500.0,0.0,1,0.0,1.0,0.0,1.0,7,2
16,1,365,120,3.733804517566366,18,55.0,9,213.93,26.73,1,13.0,1.0,1.0,2.0,7,2
15,2,159,90,2.105809613687102,18,80.0,16,500.0,50.0,2,20.0,1.0,1.0,3.0,7,5
16,1,42,45,2.982036376054309,18,25.0,18,0.0,18.0,1,26.0,1.0,1.0,1.0,7,2
15,1,232,49,1.444781892488886,18,16.0,15,0.0,50.0,1,15.0,1.0,1.0,1.0,7,2
15,1,166,129,3.807207073757503,18,84.02802026915958,13,500.0,49.0,2,24.0,1.0,2.0,2.0,7,4
15,2,129,70,2.0612921417330554,18,75.74291119464883,16,500.0,40.0,2,18.0,1.0,1.0,2.0,7,4
15,2,257,98,1.8682545996481508,18,83.85212254225317,17,300.0,50.0,2,25.0,1.0,2.0,2.0,7,4
15,1,228,160,3.5117873058188973,18,70.0,23,150.0,40.0,4,35.0,1.0,1.0,4.0,7,5
15,1,275,65,2.2006223577305066,18,50.0,22,500.0,50.0,1,0.0,1.0,1.0,4.0,7,4
15,2,3,90,3.2541641361124305,18,150.0,14,200.0,35.0,2,5.0,2.5,2.0,2.0,7,4
15,2,15,90,3.2263661968290354,18,150.0,13,200.0,55.0,2,5.0,2.5,2.0,2.0,7,4
15,1,336,197,4.735999090233916,18,84.0,30,250.0,50.0,4,40.0,2.0,2.0,8.0,7,8
15,3,191,70,4.886509346649798,18,52.65304299419234,12,1660.0,26.73,1,0.0,1.0,0.0,1.0,7,2
15,1,55,90,4.605567039081213,18,75.0,12,200.0,50.0,4,20.0,1.0,2.0,4.0,7,6
15,10,341,60,2.7825003716761256,19,38.0,0,213.93,30.0,2,10.0,1.0,1.0,1.0,7,3
15,3,221,130,4.538184157417699,18,25.0,20,1500.0,80.0,2,0.0,1.0,2.0,3.0,7,4
15,4,296,100,4.95765838553823,18,100.0,20,213.93,40.0,4,20.0,1.0,2.0,4.0,7,8
16,1,361,44,4.650042563809672,20,50.31351885031771,9,100.0,15.0,1,15.0,1.0,1.0,1.0,7,1
15,1,343,62,3.8011482238478487,18,47.0,21,0.0,20.0,2,8.0,1.0,1.0,2.0,7,4
15,1,89,55,5.266471378414513,18,75.0,13,1000.0,50.0,1,10.0,1.0,1.0,1.0,7,2
