room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
0,118,4,141,60,3.533182003748955,2,75.0,25,0,200.0,30.0,1,28.0,93.0,1.0,1.0,2.0,0,3
1,6,1,0,17,5.085573389150531,0,25.0,9,0,0.0,0.0,1,0.0,100.0,1.0,1.0,1.0,0,2
0,143,1,220,90,3.695676836683942,2,68.0,16,0,200.0,50.0,2,20.0,92.0,1.0,1.0,2.0,0,4
1,25,1,297,26,3.755284599045375,2,26.0,24,0,250.0,30.0,1,18.0,88.0,1.0,1.0,1.0,1,2
1,197,1,26,42,4.55042339408403,1,20.0,12,0,0.0,0.0,1,24.0,96.0,1.0,1.0,2.0,0,2
0,23,3,129,70,5.012296930979851,2,43.98074119512363,12,0,500.0,0.0,1,0.0,93.0,1.0,0.0,1.0,0,2
1,0,1,365,120,3.733804517566366,2,55.0,9,0,213.93,26.73,1,13.0,94.41,1.0,1.0,2.0,0,2
0,48,2,159,90,2.105809613687102,2,80.0,16,0,500.0,50.0,2,20.0,94.0,1.0,1.0,3.0,0,5
1,279,1,42,45,2.982036376054309,2,25.0,18,0,0.0,18.0,1,26.0,96.0,1.0,1.0,1.0,0,2
0,223,1,232,49,1.444781892488886,2,16.0,15,0,0.0,50.0,1,15.0,96.0,1.0,1.0,1.0,0,2
0,56,1,166,129,3.807207073757503,2,84.02802026915921,13,0,500.0,49.0,2,24.0,87.0,1.0,2.0,2.0,0,4
0,60,2,129,70,2.0612921417330554,2,75.7429111946484,16,0,500.0,40.0,2,18.0,95.0,1.0,1.0,2.0,0,4
0,61,2,257,98,1.8682545996481508,2,83.85212254225311,17,0,300.0,50.0,2,25.0,94.0,1.0,2.0,2.0,0,4
0,223,1,228,160,3.5117873058188973,2,70.0,23,0,150.0,40.0,4,35.0,94.0,1.0,1.0,4.0,0,5
0,96,1,275,65,2.2006223577305066,2,50.0,22,0,500.0,50.0,1,0.0,87.0,1.0,1.0,4.0,0,4
0,18,2,3,90,3.2541641361124305,2,150.0,14,0,200.0,35.0,2,5.0,94.0,2.5,2.0,2.0,0,4
